طابع زمني,1. الجنس,2. الفئة العمرية,3. مكان الإقامة الحالي,4. أعلى مستوى تعليمي,5. هل تعمل أو تدرس في مجال طبي أو صحي ؟,6. هل سبق لك استخدام الأعشاب الطبية لعلاج أي حالة صحية ؟,"7. عندما تمرض, ما الخيار الذي تلجأ إليه أولاً ؟ (يمكن الاختيار اكثر من اجابة)",8. هل تقرأ أو تسأل أو تبحث عن الأعشاب التي تريد استخدامها قبل الاستعمال ؟,9. ما العامل الأهم عند اختيارك للأعشاب ؟,10. هل شعرت أن الأعشاب كانت فعالة في علاج حالتك ؟,11. أي من الأعشاب السورية الشائعة استخدمتها أو سمعت عنها؟ (يمكن الاجابة على اكثر من اجابة),12. هل تعلم أن الأعشاب قد تتداخل مع بعض الأدوية وتسبب مشاكل صحية ؟,"13. برأيك, هل ""المنتج الطبيعي = آمن تماماً ولا يسبب أي أضرار""",14. هل اشتريت أدوية عشبية أو خلطات عشبية عبر الإنترنت ؟,15. هل تعتقد أن هناك أعشاب تباع بأسماء أخرى مختلفة عن اسمها الحقيقي (مثلاً الأقحوان بدلاً من البابونج)؟,16. هل تعتقد أن الأعشاب المطحونة قد تكون مغشوشة بإضافة مواد أخرى ؟,17. هل سبق لك استخدام أعشاب طبية بغرض التنحيف أو إنقاص الوزن ؟,18. أي من هذه الأعشاب استخدمتها للتنحيف؟(يمكن الإجابة على أكثر من خيار),19. هل تعتقد أن هناك حالات غش بمواد دوائية (مثل الملينات أو المدرات الكيميائية) في وصفات الأعشاب للتنحيف دون تصريح عنها ؟,20. هل تعتقد أن هناك حالات غش في الأعشاب وخلطات العسل المقوية باستخدام مركبات دوائية مقوية دون التصريح عنها ؟,21. هل تعتقد أن الإفراط في استخدام الأعشاب الطبية قد يسبب ضرراً للكبد أو الكلى ؟,22. كم مرة تستخدم الأعشاب الطبية *دون استشارة طبيب أو صيدلاني*,23. هل سبق أن شعرت بأي أعراض جانبية بعد استخدام أعشاب طبية ؟ (يمكن اختيار اكثر من اجابة),24. هل تعتقد أن الأعشاب آمنة بأي جرعة وليس لها أي آثار جانبية ؟,25. هل تعتقد أن هناك توابل وبهارات شائعة لها أضرار عند استخدامها بجرعات عالية؟,26. هل تعلم أو سمعت بوجود أعشاب طبية منشطة أو مهدئة للجهاز العصبي قد تسبب الإدمان أو الاعتماد عليها عند الاستخدام المطول ؟,"27. برأيك , هل يمكن لبعض الأعشاب المهدئة أو المنشطة أن تسبب اعتماداً نفسياً أو جسدياً مشابه للأدوية الكيميائية ؟","28. برأيك , ماهو السبب الرئيسي لانتشار الوصفات العشبية الخاطئة أو الخطرة على وسائل التواصل الاجتماعي ؟ (يمكن اختيار اكثر من اجابة)","29. إذا تم تطوير *تطبيق ذكي مجاني باللغة العربية* يعمل كمساعد منزلي يقدم معلومات علمية موثوقة عن الأعشاب السورية , هل ستستخدمه؟",30. هل لديك أي اقتراحات أو ملاحظات إضافية حول  استخدام الأعشاب الطبية في سوريا ؟
2026-04-13 20:34:58.266,أنثى,18-25 سنة,اللاذقية,بكالوريوس,نعم,"نعم , احيانا",الأدوية من الصيدلية,دائماً,الجودة,إلى حد ما,النعناع,لا,أوافق,لا,لا,لا أعرف,لا,,ربما,نعم,ربما,غالباً,لم أشعر بأي أعراض,نعم,ربما,سمعت بالمصطلح بشكل عام لكن لا أعرف أمثلة,لا أعتقد ذلك,"قلة الرقابة على المحتوى, عدم وعي المستخدمين بالمخاطر",ربما,
2026-04-13 20:37:53.636,أنثى,18-25 سنة,اللاذقية,بكالوريوس,لا,"نعم , احيانا","الأدوية من الصيدلية, زيارة الطبيب",أحياناً,الثقة بالمصدر,إلى حد ما,"إكليل الجبل, اليانسون, البابونج, النعناع",نعم,محايد,لا,نعم,نعم,لا,,لا أعرف,ربما,ربما,غالباً,"إسهال, حساسية",لا,نعم,"نعم , سمعت عنه لكن لا أعرف التفاصيل",ربما في حالات الاستخدام الطويل,كل ما سبق,نعم بالتأكيد,حملة توعية عن استخدام الصحيح لهذه الاعشاب 
2026-04-13 20:39:18.004,أنثى,26-35 سنة,اللاذقية,ثانوية,لا,نادرا,زيارة الطبيب,نادراً,الشهرة/التجربة,لا أعلم,"اليانسون, البابونج",لا,محايد,لا,لا أعرف,نعم,نعم (انتقل إلى السؤال 18),الشاي الأخضر,لا أعرف,نعم,لا أعرف,نادراً,"حساسية, لم أشعر بأي أعراض",لا أعرف,لا أعرف,"لا , لم أسمع بهذا من قبل",لا أعرف,"قلة الرقابة على المحتوى, انتشار الموروث الشعبي الخاطئ, رغبة الناس في حلول سريعة ورخيصة",نعم بالتأكيد,نعم لو في رقابه حول هاذا الموضوع كان الشعب استخدم الاعشاب لاني الاعشاب مفيده اكثر من الدواء
2026-04-13 20:39:28.430,أنثى,18-25 سنة,اللاذقية,دراسات عليا,لا,نادرا,"الأعشاب الطبية, الأدوية من الصيدلية",أحياناً,الشهرة/التجربة,إلى حد ما,"اليانسون, البابونج, النعناع",لا,محايد,لا,نعم,نعم بشدة,لا,,لا أعرف,لا أعرف,ربما,أحياناً,لم أشعر بأي أعراض,لا,ربما,"نعم , سمعت عنه لكن لا أعرف التفاصيل",لا أعرف,عدم وعي المستخدمين بالمخاطر,نعم بالتأكيد,لا
2026-04-13 20:42:16.548,ذكر,18-25 سنة,اللاذقية,بكالوريوس,لا,"نعم , احيانا",الأدوية من الصيدلية,أحياناً,الشهرة/التجربة,لم تكن فعالة,"إكليل الجبل, اليانسون, البابونج, النعناع",لا,أوافق,لا,لا,لا أعرف,لا,,لا أعرف,نعم,لا أعرف,نادراً,لم أشعر بأي أعراض,لا أعرف,نعم,"لا , لم أسمع بهذا من قبل",لا أعرف,كل ما سبق,نعم بالتأكيد,
2026-04-13 20:43:00.909,ذكر,أكثر من 50 سنة,اللاذقية,ثانوية,لا,"نعم , بانتظام",الأعشاب الطبية,دائماً,الثقة بالمصدر,إلى حد ما,البابونج,نعم,أوافق,لا,لا أعرف,لا أعرف,نعم (انتقل إلى السؤال 18),الشاي الأخضر,لا أعرف,لا أعرف,لا (لأنها طبيعية),دائماً,لم أشعر بأي أعراض,ربما,نعم,"لا , لم أسمع بهذا من قبل",لا أعتقد ذلك,رغبة الناس في حلول سريعة ورخيصة,نعم بالتأكيد,لا
2026-04-13 20:45:41.552,أنثى,18-25 سنة,اللاذقية,بكالوريوس,لا,"نعم , احيانا","الأدوية من الصيدلية, زيارة الطبيب",دائماً,الشهرة/التجربة,نعم جداً,"إكليل الجبل, اليانسون, البابونج, النعناع",نعم,أوافق بشدة,لا,لا أعرف,نعم,لا,,ربما,نعم,لا (لأنها طبيعية),غالباً,لم أشعر بأي أعراض,نعم,لا,سمعت بالمصطلح بشكل عام لكن لا أعرف أمثلة,"نعم , بالتأكيد","قلة الرقابة على المحتوى, رغبة الناس في حلول سريعة ورخيصة",نعم بالتأكيد,
2026-04-13 20:47:45.244,أنثى,18-25 سنة,اللاذقية,بكالوريوس,نعم,"نعم , احيانا",الأعشاب الطبية,دائماً,الشهرة/التجربة,نعم جداً,البابونج,نعم,لا أوافق,لا,لا أعرف,نعم بشدة,لا,,نعم بشدة,نعم بشدة,نعم بالتأكيد,أحياناً,لم أشعر بأي أعراض,لا,نعم,"نعم , أعرف ذلك جيداً","نعم , بالتأكيد",عدم وعي المستخدمين بالمخاطر,نعم بالتأكيد,الاهتمام بنشر الوعي حول استخدام الأعشاب والتنويه على فوائدها وعلى الآثار الضاره نتيجة الاستعمال لفترة زمنيه طويله لدى البعض منها
2026-04-13 20:48:35.948,أنثى,26-35 سنة,اللاذقية,بكالوريوس,نعم,"نعم , احيانا",الأدوية من الصيدلية,دائماً,الثقة بالمصدر,إلى حد ما,"البابونج, النعناع, الكركم",نعم,لا أوافق,لا,نعم,نعم بشدة,لا,الشاي الأخضر,نعم,نعم بشدة,ربما,دائماً,لم أشعر بأي أعراض,لا,نعم,"نعم , أعرف ذلك جيداً","نعم , بالتأكيد",انتشار الموروث الشعبي الخاطئ,ربما,لا
2026-04-13 20:53:01.888,أنثى,18-25 سنة,اللاذقية,ثانوية,لا,نادرا,الأعشاب الطبية,دائماً,نصيحة شخص آخر,إلى حد ما,"إكليل الجبل, اليانسون, القرفة",لا,لا أوافق,لا,لا أعرف,ربما,نعم (انتقل إلى السؤال 18),الشاي الأخضر,لا أعرف,لا أعرف,نعم بالتأكيد,أحياناً,إسهال,لا,نعم,"لا , لم أسمع بهذا من قبل",ربما في حالات الاستخدام الطويل,كل ما سبق,نعم بالتأكيد,
